# Edited version of McConnachie (2012, AJ, 144, 4).
name,RA,Dec,EB-V,distmod,distmod_err_plus,distmod_err_minus,MHI,logLV
Sagittarius dSph,18 55 19.5,-30 32 43,0.153,17.1,0.15,0.15,0.0,7.332000000000001
Segue (I),10  7  4.0,16  4 55,0.031,16.8,0.2,0.2,0.0,2.532
Ursa Major II,08 51 30.0,63  7 48,0.094,17.5,0.3,0.3,0.0,3.6119999999999997
Bootes II,13 58  0.0,12 51  0,0.031,18.1,0.06,0.06,0.0,3.0120000000000005
Segue II,02 19 16.0,20 10 31,0.185,17.7,0.1,0.1,-1.0,2.932
Willman 1,10 49 21.0,51  3  0,0.014,17.9,0.4,0.4,0.0,3.0119999999999996
Coma Berenices,12 26 59.0,23 54 15,0.017,18.2,0.2,0.2,0.0,3.572
LMC,05 23 34.5,-69 45 22,0.926,18.52,0.09,0.09,460000000.0,9.180000000000001
Tucana 2,22 51 55.1,-58 34  8,9.999,18.8,0.2,0.2,-1.0,3.4520000000000004
SMC,00 52 44.8,-72 49 43,0.419,19.03,0.12,0.12,460000000.0,8.664000000000001
Bootes (I),14  0  6.0,14 30  0,0.017,19.11,0.08,0.08,0.0,4.4559999999999995
Draco,17 20 12.4,57 54 55,0.027,19.4,0.17,0.17,0.0,5.452
Ursa Minor,15  9  8.5,67 13 21,0.032,19.4,0.1,0.1,0.0,5.452
Sculptor,01  0  9.4,-33 42 33,0.018,19.67,0.14,0.14,220000.0,6.360000000000001
Sextans (I),10 13  3.0,-1 36 53,0.047,19.67,0.1,0.1,0.0,5.640000000000001
Ursa Major (I),10 34 52.8,51 55 12,0.02,19.93,0.1,0.1,0.0,4.144
Carina,06 41 36.7,-50 57 58,0.061,20.11,0.13,0.13,0.0,5.576
Hercules,16 31  2.0,12 47 30,0.063,20.6,0.2,0.2,0.0,4.572000000000001
Hydra II,12 21 42.1,-31 59 07,0.053,20.64,0.16,0.16,-1.0,3.868
Fornax,02 39 59.3,-34 26 57,0.021,20.84,0.18,0.18,170000.0,7.308
Leo IV,11 32 57.0,-0 32  0,0.026,20.94,0.09,0.09,0.0,4.268000000000001
Canes Venatici II,12 57 10.0,34 19 15,0.01,21.02,0.06,0.06,0.0,3.8999999999999995
Leo V,11 31  9.6,2 13 12,0.027,21.25,0.12,0.12,0.0,4.032
Pisces II,22 58 31.0,5 57  9,0.065,21.3,9.99,9.99,-1.0,3.932
Canes Venatici (I),13 28  3.5,33 33 21,0.014,21.69,0.1,0.1,0.0,5.368
Leo II,11 13 28.8,22  9  6,0.017,21.84,0.13,0.13,0.0,5.868
Leo I,10  8 28.1,12 18 23,0.036,22.02,0.13,0.13,0.0,6.74
Andromeda,0 42 44.3,41 16  9,0.684,24.47,0.07,0.07,-1.0,-28.240000000000002
M32,0 42 41.8,40 51 55,0.154,24.53,0.21,0.21,0.0,8.504
Andromeda IX,0 52 53.0,43 11 45,0.075,24.42,0.07,0.07,0.0,5.180000000000001
NGC 205,0 40 22.1,41 41  7,0.085,24.58,0.07,0.07,400000.0,8.523999999999997
Andromeda I,0 45 39.8,38  2 28,0.053,24.36,0.07,0.07,0.0,6.675999999999999
Andromeda XVII,0 37  7.0,44 19 20,0.074,24.31,0.11,0.08,0.0,5.335999999999999
Andromeda XXVII,0 37 27.1,45 23 13,0.08,24.59,0.12,0.12,-1.0,5.088
Andromeda III,0 35 33.8,36 29 52,0.056,24.37,0.07,0.07,0.0,6.000000000000001
Andromeda XXV,0 30  8.9,46 51  7,0.101,24.55,0.12,0.12,-1.0,5.832
Andromeda XXVI,0 23 45.6,47 54 58,0.11,24.41,0.12,0.12,-1.0,4.776
Andromeda V,1 10 17.1,47 37 41,0.125,24.44,0.08,0.08,0.0,5.748
Andromeda XI,0 46 20.0,33 48  5,0.08,24.33,0.05,0.05,0.0,4.664
Andromeda XIX,0 19 32.1,35  2 37,0.062,24.57,0.08,0.43,-1.0,5.5200000000000005
Andromeda XXIII,1 29 21.8,38 43  8,0.066,24.43,0.13,0.13,-1.0,6.024
Andromeda XX,0  7 30.7,35  7 56,0.059,24.35,0.12,0.16,-1.0,4.392000000000001
Andromeda XIII,0 51 51.0,33  0 16,0.082,24.62,0.05,0.05,0.0,4.54
Andromeda X,1  6 33.7,44 48 16,0.129,24.13,0.08,0.13,0.0,4.943999999999999
Andromeda XXI,23 54 47.7,42 28 15,0.093,24.59,0.06,0.07,-1.0,5.848
And XXXII,00 35 59.4,51 33 35,0.193,24.45,0.14,0.14,-1.0,6.831999999999999
NGC 147,0 33 12.1,48 30 32,0.172,24.15,0.09,0.09,0.0,7.791999999999999
And XXX,00 36 34.9,49 38 48,0.166,24.17,0.1,0.26,-1.0,5.120000000000001
Andromeda XIV,0 51 35.0,29 41 49,0.06,24.5,0.06,0.56,0.0,5.372
Andromeda XII,0 47 27.0,34 22 29,0.11,24.84,0.09,0.34,0.0,4.548
Andromeda XV,1 14 18.7,38  7  3,0.047,23.98,0.26,0.12,0.0,5.684
Andromeda II,1 16 29.8,33 25  9,0.061,24.07,0.06,0.06,0.0,6.959999999999999
NGC 185,0 38 58.0,48 20 15,0.184,23.95,0.09,0.09,110000.0,7.831999999999999
Andromeda XXIX,23 58 55.6,30 45 20,0.046,24.32,0.22,0.22,-1.0,5.26
Triangulum,1 33 50.9,30 39 37,0.041,24.54,0.06,0.06,-1.0,9.468
Andromeda XXIV,1 18 30.0,46 21 58,0.083,23.89,0.12,0.12,-1.0,4.968
Andromeda VII,23 26 31.7,50 40 33,0.194,24.41,0.1,0.1,0.0,7.215999999999999
IC 10,0 20 17.3,59 18 14,1.568,24.5,0.12,0.12,50000000.0,7.9319999999999995
And XXXI,22 58 16.3,41 17 28,0.133,24.4,0.12,0.12,-1.0,6.612
LGS 3,1  3 55.0,21 53  6,0.04,24.43,0.07,0.07,380000.0,5.984
Andromeda VI,23 51 46.3,24 34 57,0.063,24.47,0.07,0.07,0.0,6.519999999999999
Andromeda XXII,1 27 40.0,28  5 25,0.079,24.82,0.07,0.36,-1.0,4.66
Andromeda XVI,0 59 29.8,32 22 36,0.067,23.39,0.19,0.14,0.0,5.5280000000000005
Andromeda XXVIII,22 32 41.2,31 12 58,0.096,24.1,0.5,0.2,-1.0,5.332000000000001
